"","island","item","wh","gap","region","model","surprisal"
"394","nocomp",20,"what","gap","continuation","JRNN",18.8469514846802
"395","nocomp",20,"what","gap","continuation","NGRAM",19.6348488500844
"396","nocomp",20,"what","nogap","embed_obj","GPT2",9.31847143173218
"397","nocomp",20,"what","nogap","embed_obj","GPT3",8.8200726
"398","nocomp",20,"what","nogap","embed_obj","GRNN",17.7377119064331
"399","nocomp",20,"what","nogap","embed_obj","JRNN",12.0120820999146
"400","nocomp",20,"what","nogap","embed_obj","NGRAM",22.0661749500981
"401","nocomp",21,"that","gap","continuation","GPT2",9.89967012405396
"402","nocomp",21,"that","gap","continuation","GPT3",7.73814185
"403","nocomp",21,"that","gap","continuation","GRNN",14.352409362793
"404","nocomp",21,"that","gap","continuation","JRNN",11.949199616909
